Date,Open,High,Low,Close,Volume,Adj Close
1991-01-29,14.58,14.58,14.58,14.58,15,14.58
1991-01-30,14.51,14.51,14.51,14.51,45,14.51
1991-02-02,14.59,14.59,14.59,14.59,13,14.59
1991-02-04,14.66,14.66,14.66,14.66,1005,14.66
1991-02-05,14.73,14.73,14.73,14.73,895,14.73
1991-02-06,14.8,14.8,14.8,14.8,1625,14.8
1991-02-07,14.87,14.87,14.87,14.87,970,14.87
1991-02-08,14.94,14.94,14.94,14.94,1235,14.94
1991-02-09,15.01,15.01,15.01,15.01,136,15.01
1991-02-11,15.09,15.09,15.09,15.09,370,15.09
1991-02-12,15.07,15.07,15.07,15.07,205,15.07
1991-02-13,15.25,15.25,15.25,15.25,70,15.25
1991-02-22,15.33,15.33,15.33,15.33,345,15.33
1991-02-23,15.41,15.41,15.41,15.41,127,15.41
1991-02-25,15.33,15.33,15.33,15.33,265,15.33
1991-02-26,15.25,15.25,15.25,15.25,95,15.25
1991-02-27,15.17,15.17,15.17,15.17,35,15.17
1991-02-28,15.09,15.09,15.09,15.09,100,15.09
1991-03-01,15.01,15.01,15.01,15.01,35,15.01
1991-03-02,14.03,14.03,14.03,14.03,18,14.03
1991-03-04,14.86,14.86,14.86,14.86,35,14.86
1991-03-05,14.79,14.79,14.79,14.79,75,14.79
1991-03-06,14.72,14.72,14.72,14.72,150,14.72
1991-03-07,14.65,14.65,14.65,14.65,250,14.65
1991-03-08,14.58,14.58,14.58,14.58,75,14.58
1991-03-09,14.51,14.51,14.51,14.51,4,14.51
1991-03-11,14.44,14.44,14.44,14.44,125,14.44
1991-03-12,14.37,14.37,14.37,14.37,70,14.37
1991-03-13,14.3,14.3,14.3,14.3,630,14.3
1991-03-14,14.23,14.23,14.23,14.23,750,14.23
1991-03-15,14.16,14.16,14.16,14.16,490,14.16
1991-03-16,14.09,14.09,14.09,14.09,8,14.09
1991-03-18,14.02,14.02,14.02,14.02,145,14.02
1991-03-19,13.95,13.95,13.95,13.95,120,13.95
1991-03-20,13.88,13.88,13.88,13.88,55,13.88
1991-03-21,13.81,13.81,13.81,13.81,55,13.81
1991-03-22,13.74,13.74,13.74,13.74,10,13.74
1991-03-23,13.67,13.67,13.67,13.67,2,13.67
1991-03-25,13.6,13.6,13.6,13.6,35,13.6
1991-03-26,13.53,13.53,13.53,13.53,50,13.53
1991-03-27,13.46,13.46,13.46,13.46,15,13.46
1991-03-28,13.39,13.39,13.39,13.39,10,13.39
1991-03-29,13.18,13.18,13.18,13.18,70,13.18
1991-03-30,13.25,13.25,13.25,13.25,13,13.25
1991-04-02,13.11,13.11,13.11,13.11,185,13.11
1991-04-03,13.04,13.04,13.04,13.04,75,13.04
1991-04-04,12.97,12.97,12.97,12.97,470,12.97
1991-04-05,12.91,12.91,12.91,12.91,30,12.91
1991-04-06,12.85,12.85,12.85,12.85,14,12.85
