Date,Open,High,Low,Close,Volume,Adj Close
2001-08-27,34.51,35.55,37.78,32.85,406318,32.85
2001-08-28,34.99,36.86,37.0,34.61,129647,34.61
2001-08-29,36.98,36.38,37.0,36.1,53252,36.1
2001-08-30,36.28,37.1,37.51,36.0,48013,36.0
2001-08-31,37.15,37.01,37.62,36.8,23231,36.8
2001-09-03,37.2,36.99,37.57,36.85,22112,36.85
2001-09-04,37.01,37.46,38.08,36.88,37006,36.88
2001-09-05,37.61,37.44,37.92,37.21,26066,37.21
2001-09-06,37.35,36.7,37.47,36.51,28997,36.51
2001-09-07,36.5,35.68,36.95,35.65,31552,35.65
2001-09-10,35.4,36.7,36.85,35.01,18878,35.01
2001-09-11,36.8,36.29,36.95,36.2,11390,36.2
2001-09-12,35.33,35.98,36.2,35.3,25045,35.3
2001-09-13,36.01,35.89,36.3,35.7,10986,35.7
2001-09-14,36.01,36.3,36.5,35.8,7672,35.8
2001-09-17,36.08,35.84,36.29,35.5,8983,35.5
2001-09-18,35.88,36.25,36.55,35.85,10773,35.85
2001-09-19,36.3,36.92,36.92,36.06,8650,36.06
2001-09-20,36.9,36.61,37.05,36.5,11173,36.5
2001-09-21,36.28,36.06,36.6,36.0,7879,36.0
2001-09-24,36.06,36.05,36.39,36.0,4068,36.0
2001-09-25,36.28,36.23,36.54,36.05,3488,36.05
2001-09-26,36.11,36.08,36.48,36.0,4956,36.0
2001-09-27,36.08,36.7,36.98,36.0,8778,36.0
2001-09-28,36.9,37.09,37.2,36.5,17088,36.5
2001-10-08,37.0,36.58,37.18,36.25,6552,36.25
2001-10-09,36.6,37.3,37.5,36.6,9558,36.6
2001-10-10,37.3,36.1,37.43,36.03,17548,36.03
2001-10-11,36.01,35.75,36.5,35.65,12306,35.65
2001-10-12,35.9,36.0,36.65,34.05,20010,34.05
2001-10-15,35.9,35.3,36.0,34.9,9755,34.9
2001-10-16,35.13,34.8,35.8,34.75,8319,34.75
2001-10-17,34.79,34.2,34.81,33.9,12507,33.9
2001-10-18,34.2,34.04,34.66,33.91,4983,33.91
2001-10-19,34.0,33.5,34.15,33.01,15687,33.01
2001-10-22,33.3,32.79,33.7,32.7,9760,32.7
2001-10-23,36.0,36.07,36.07,35.01,40598,35.01
2001-10-24,36.78,35.86,36.8,35.11,40682,35.11
2001-10-25,35.7,34.88,35.8,34.86,16036,34.86
2001-10-26,34.7,35.0,35.1,34.42,9002,34.42
2001-10-29,34.88,35.3,35.63,34.88,4587,34.88
2001-10-30,35.25,35.0,35.49,34.92,3484,34.92
2001-10-31,35.0,35.05,35.09,34.8,4762,34.8
2001-11-01,35.05,35.57,35.64,34.95,6643,34.95
2001-11-02,35.28,35.36,35.72,35.16,3435,35.16
2001-11-05,35.0,34.9,35.26,34.7,3690,34.7
2001-11-06,34.8,35.15,35.3,34.72,2609,34.72
2001-11-07,35.0,33.85,35.0,33.8,9325,33.8
2001-11-08,33.35,33.7,33.89,32.98,7402,32.98
2001-11-09,33.7,34.15,34.48,33.34,3760,33.34
2001-11-12,34.4,33.6,34.4,33.52,2683,33.52
2001-11-13,33.28,33.64,33.7,33.21,2673,33.21
2001-11-14,33.64,33.65,34.0,33.64,769,33.64
2001-11-15,33.65,33.68,33.8,33.5,2193,33.5
2001-11-16,36.2,34.09,36.2,33.99,9954,33.99
2001-11-19,34.15,35.05,35.08,34.1,9955,34.1
2001-11-20,35.2,35.38,35.53,34.9,3735,34.9
2001-11-21,35.48,35.18,35.5,34.9,5114,34.9
2001-11-22,35.22,35.12,35.3,34.91,4198,34.91
2001-11-23,35.01,34.98,35.25,34.78,3960,34.78
2001-11-26,35.0,34.61,35.0,34.5,3100,34.5
2001-11-27,34.58,35.0,35.07,34.58,2569,34.58
2001-11-28,35.05,35.05,35.39,34.9,3773,34.9
2001-11-29,35.01,34.83,35.2,34.81,3046,34.81
2001-11-30,34.83,35.34,35.45,34.8,4070,34.8
2001-12-03,35.35,36.17,36.27,35.34,16037,35.34
2001-12-04,36.25,36.23,36.27,35.81,6894,35.81
2001-12-05,37.0,36.0,37.0,35.96,15028,35.96
2001-12-06,35.9,36.06,36.3,35.8,6372,35.8
2001-12-07,36.1,35.86,36.2,35.8,3908,35.8
2001-12-10,36.0,35.99,36.08,35.71,4162,35.71
2001-12-11,36.0,35.64,36.0,35.61,3580,35.61
2001-12-12,35.6,35.77,36.1,35.6,4633,35.6
2001-12-13,35.61,35.26,35.97,35.2,3540,35.2
2001-12-14,35.02,35.2,35.5,35.02,2841,35.02
2001-12-17,35.11,35.36,35.61,35.05,4414,35.05
2001-12-18,35.48,35.9,35.96,35.1,4821,35.1
2001-12-19,35.9,35.96,36.49,35.63,9620,35.63
2001-12-20,35.9,34.76,35.9,34.65,11362,34.65
2001-12-21,34.7,35.87,35.97,34.7,8135,34.7
2001-12-24,35.99,36.42,37.25,35.81,27251,35.81
2001-12-25,36.45,36.5,36.72,35.95,12183,35.95
2001-12-26,36.54,37.19,37.25,36.1,16810,36.1
2001-12-27,37.22,37.32,37.84,36.92,23285,36.92
2001-12-28,37.3,37.3,37.6,36.88,12279,36.88
2001-12-31,37.67,38.55,39.3,37.46,52195,37.46
2002-01-04,38.72,37.55,38.8,37.45,29110,37.45
2002-01-07,37.15,37.35,37.5,36.68,18943,36.68
2002-01-08,37.0,36.59,37.59,36.48,13287,36.48
2002-01-09,36.5,36.87,37.18,36.35,10607,36.35
2002-01-10,36.98,37.24,37.39,36.35,18816,36.35
2002-01-11,37.01,36.05,37.14,36.0,11835,36.0
2002-01-14,35.7,36.1,36.4,35.43,18719,35.43
2002-01-15,35.98,36.54,37.05,35.91,18247,35.91
2002-01-16,36.48,36.35,36.97,35.4,13974,35.4
2002-01-17,36.2,35.06,36.49,34.7,24180,34.7
2002-01-18,34.8,36.65,36.88,34.7,32262,34.7
2002-01-21,36.3,35.87,36.6,35.58,15756,35.58
2002-01-22,35.8,36.44,36.95,35.8,13486,35.8
2002-01-23,36.65,37.62,37.65,36.2,23336,36.2
2002-01-24,37.36,37.29,37.87,36.8,26616,36.8
2002-01-25,37.24,37.1,37.57,36.8,13941,36.8
2002-01-28,37.0,35.49,37.29,35.3,21668,35.3
2002-01-29,35.2,35.66,36.2,34.98,11872,34.98
2002-01-30,35.6,35.58,36.28,35.2,8419,35.2
2002-01-31,36.0,37.6,38.0,36.0,40828,36.0
2002-02-01,37.5,37.06,37.98,36.9,17345,36.9
2002-02-04,37.18,37.92,38.15,37.0,16510,37.0
2002-02-05,37.93,37.9,38.68,37.63,11196,37.63
2002-02-06,37.86,37.18,38.11,37.09,9669,37.09
2002-02-07,37.18,37.41,37.92,37.12,6688,37.12
2002-02-08,37.6,37.65,38.2,37.58,12569,37.58
2002-02-26,37.99,37.77,38.5,37.45,14816,37.45
2002-02-27,37.85,37.93,38.1,37.5,8291,37.5
2002-02-28,38.0,38.0,38.46,37.78,12507,37.78
2002-03-01,37.95,37.39,38.15,37.2,7421,37.2
2002-03-04,37.35,38.04,38.08,37.12,5225,37.12
2002-03-05,38.06,38.59,39.1,37.86,22189,37.86
2002-03-06,38.8,38.36,39.08,38.02,18620,38.02
2002-03-07,38.2,38.5,38.6,38.05,13616,38.05
2002-03-08,38.55,39.63,39.78,38.55,35327,38.55
2002-03-11,39.69,39.45,39.69,39.07,17606,39.07
2002-03-12,39.45,38.5,39.45,38.5,17252,38.5
2002-03-13,38.31,38.24,38.8,38.19,7794,38.19
2002-03-14,38.11,38.62,38.7,38.05,6388,38.05
2002-03-15,38.02,37.92,38.9,37.85,11893,37.85
2002-03-18,38.12,38.0,38.8,37.9,6070,37.9
2002-03-19,38.1,38.75,38.88,38.02,6774,38.02
2002-03-20,38.8,38.97,39.5,38.7,15031,38.7
2002-03-21,39.3,38.92,39.56,38.66,15037,38.66
2002-03-22,38.92,38.54,39.0,38.42,7973,38.42
2002-03-25,38.49,38.78,38.9,38.3,4315,38.3
2002-03-26,38.7,38.2,38.8,38.12,6239,38.12
2002-03-27,38.15,38.1,38.46,37.91,4991,37.91
2002-03-28,38.01,38.01,38.28,38.0,5292,38.0
2002-03-29,38.0,37.26,38.05,37.1,10625,37.1
2002-04-01,37.16,37.6,37.79,37.12,2766,37.12
2002-04-02,37.61,37.02,37.76,36.81,7329,36.81
2002-04-03,37.02,36.98,37.3,36.82,6019,36.82
2002-04-04,36.97,37.58,37.6,36.51,5161,36.51
2002-04-05,37.78,37.28,37.94,37.1,3047,37.1
2002-04-08,37.3,37.0,37.4,36.95,2300,36.95
2002-04-09,37.0,37.43,37.5,36.88,3292,36.88
2002-04-10,37.43,37.48,37.77,37.2,3424,37.2
2002-04-11,37.49,37.49,37.88,37.41,6798,37.41
2002-04-12,37.62,38.0,38.22,37.52,4519,37.52
2002-04-15,38.46,37.89,38.5,37.6,2926,37.6
2002-04-16,37.88,38.26,38.3,37.88,6036,37.88
2002-04-17,38.5,36.98,38.5,36.85,13219,36.85
2002-04-18,37.0,36.39,37.19,36.38,8538,36.38
2002-04-19,36.39,36.22,36.45,35.89,8854,35.89
2002-04-22,36.0,36.19,36.4,35.9,4114,35.9
2002-04-23,36.19,35.52,36.19,35.51,4088,35.51
2002-04-24,35.5,35.24,35.88,35.16,5051,35.16
2002-04-25,35.1,35.51,35.68,35.1,2597,35.1
2002-04-26,35.5,36.02,36.08,35.4,2381,35.4
2002-04-29,36.2,36.35,37.0,36.2,4665,36.2
2002-04-30,36.48,36.2,36.6,35.95,5978,35.95
2002-05-08,36.31,36.25,36.5,36.02,1700,36.02
2002-05-09,36.0,36.03,36.45,36.0,1712,36.0
2002-05-10,36.05,35.66,36.13,35.65,2689,35.65
2002-05-13,35.57,35.4,35.7,35.38,2831,35.38
2002-05-14,35.4,35.48,36.48,35.21,5070,35.21
2002-05-15,35.68,35.34,35.69,35.2,2244,35.2
2002-05-16,35.25,34.96,35.36,34.91,5550,34.91
2002-05-17,34.89,35.04,35.59,34.75,3860,34.75
2002-05-20,34.99,34.51,34.99,34.5,3354,34.5
2002-05-21,35.54,35.03,35.54,34.9,5707,34.9
2002-05-22,35.1,35.02,35.48,34.95,2974,34.95
2002-05-23,35.88,35.2,35.88,35.1,1620,35.1
2002-05-24,35.01,34.89,35.2,34.68,2407,34.68
2002-05-27,35.0,35.11,35.34,34.89,1653,34.89
2002-05-28,35.2,35.16,35.55,35.1,2615,35.1
2002-05-29,35.21,34.77,35.38,34.66,2685,34.66
2002-05-30,34.88,34.86,35.06,34.6,1962,34.6
2002-05-31,35.0,34.95,35.16,34.8,1806,34.8
2002-06-03,34.9,34.93,35.01,34.51,2290,34.51
2002-06-04,34.9,34.5,35.0,34.0,1976,34.0
2002-06-05,34.5,34.35,34.5,34.1,2225,34.1
2002-06-06,34.38,34.99,35.47,34.1,5757,34.1
2002-06-07,34.8,34.92,35.16,34.61,3622,34.61
2002-06-10,35.0,34.64,35.05,34.51,1833,34.51
2002-06-11,34.75,34.82,35.02,34.65,1539,34.65
2002-06-12,34.8,35.11,35.12,34.55,2082,34.55
2002-06-13,35.1,34.9,35.3,34.88,1623,34.88
2002-06-14,34.9,34.65,35.2,34.6,947,34.6
2002-06-17,34.55,34.65,34.66,34.3,1358,34.3
2002-06-18,34.7,34.97,35.08,34.69,1637,34.69
2002-06-19,34.9,34.73,35.0,34.7,834,34.7
2002-06-20,34.98,34.88,35.05,34.76,1319,34.76
2002-06-21,35.0,35.49,35.7,34.88,4267,34.88
2002-06-24,39.04,38.18,39.04,37.0,61254,37.0
2002-06-26,37.28,36.85,37.4,36.56,15423,36.56
2002-06-27,36.9,36.78,37.18,36.6,5580,36.6
2002-06-28,36.7,37.03,37.38,36.7,10764,36.7
2002-07-01,37.08,36.8,37.49,36.78,4320,36.78
2002-07-02,36.8,36.75,36.8,36.58,3935,36.58
2002-07-03,36.75,36.66,36.85,36.5,5333,36.5
2002-07-04,36.68,36.07,36.7,36.0,6670,36.0
2002-07-05,36.06,36.16,36.18,36.0,6816,36.0
2002-07-08,36.18,36.17,36.46,36.1,3193,36.1
2002-07-09,36.18,36.12,36.24,36.03,3523,36.03
2002-07-10,36.12,35.72,36.24,35.65,4623,35.65
2002-07-11,35.63,35.93,36.25,35.63,2358,35.63
2002-07-12,35.99,36.03,36.18,35.8,1588,35.8
2002-07-15,36.01,35.91,36.16,35.9,1309,35.9
2002-07-16,35.68,35.9,36.13,35.68,2316,35.68
2002-07-17,35.95,35.9,36.0,35.65,1342,35.65
2002-07-18,36.05,36.24,36.49,36.0,5894,36.0
2002-07-19,36.37,36.39,36.46,36.26,2517,36.26
2002-07-22,36.68,36.4,36.7,36.33,6104,36.33
2002-07-23,36.45,36.25,36.45,36.01,2902,36.01
2002-07-24,36.3,36.4,36.49,36.1,4664,36.1
2002-07-25,32.61,32.31,32.81,32.11,1700,32.11
2002-07-26,32.5,32.13,32.5,32.07,1558,32.07
2002-07-29,32.2,31.69,32.28,31.58,2557,31.58
2002-07-30,31.68,31.52,31.75,31.48,3446,31.48
2002-07-31,31.52,31.32,31.7,31.25,2580,31.25
2002-08-01,31.28,31.24,31.49,31.15,2001,31.15
2002-08-02,31.3,31.43,31.78,31.05,1254,31.05
2002-08-05,31.44,31.32,31.5,31.25,1078,31.25
2002-08-06,31.32,31.42,31.58,31.22,2092,31.22
2002-08-07,31.43,31.42,31.5,31.35,1356,31.35
2002-08-08,31.42,31.29,31.57,31.2,1265,31.2
2002-08-09,31.21,30.98,31.35,30.94,2490,30.94
2002-08-12,30.8,30.6,30.88,30.6,2251,30.6
2002-08-13,30.7,30.6,30.7,30.4,1704,30.4
2002-08-14,30.98,30.98,30.98,30.6,2472,30.6
2002-08-15,30.98,30.76,30.98,30.75,1260,30.75
2002-08-16,30.5,30.8,30.87,30.3,2241,30.3
2002-08-19,30.79,30.66,30.9,30.61,1109,30.61
2002-08-20,30.59,30.9,30.99,30.59,2372,30.59
